"","Interest Earned","(a) Int. /Disc. on Adv/Bills","(b) Income on Investment","(c) Int. on balances With RBI","(d) Others","Other Income","EXPENDITURE","Interest Expended","Employees Cost","Other Expenses","Depreciation","Operating Profit before Provisions and contingencies","Provisions And Contingencies","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","ANALYTICAL RATIOS","a) % of Share by Govt.","b) Capital Adequacy Ratio - Basel -I","c) Capital Adequacy Ratio - Basel -II","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","NPA Ratios :","i) Gross NPA","ii) Net NPA","i) % of Gross NPA","ii) % of Net NPA","Return on Assets %","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Mar 19",,"11127.23","2970.59","223.83","476.38","3526.28",,"9092.44","1142.28","3075.17",,"5014.42","2711.43",,"2302.99","797.93","1505.06",,,"1505.06","514.33",,,,,,,,"5.85","5.82",,"5.85","5.82",,"29789.44","11275.60","5.26","2.06","0.78",,,,,,,,,,,,
"Dec 18",,"10628.25","2894.44","183.14","423.90","4000.69",,"8526.06","1202.59","2877.12",,"5524.65","3054.51",,"2470.14","789.29","1680.85",,,"1680.85","513.98",,,,,,,,"6.54","6.52",,"6.54","6.52",,"30854.67","12233.29","5.75","2.36","0.88",,,,,,,,,,,,
"Sep 18",,"9954.99","2801.56","161.82","362.62","2678.38",,"8048.88","1174.65","2641.84",,"4094.00","2927.38",,"1166.62","377.01","789.61",,,"789.61","513.82",,,,,,,,"3.07","3.07",,"3.07","3.07",,"30938.33","12715.71","5.96","2.54","0.43",,,,,,,,,,,,
"Jun 18",,"9611.55","2682.48","124.56","358.43","2924.99",,"7610.22","1227.80","2491.95",,"4372.04","3337.70",,"1034.34","333.25","701.09",,,"701.09","513.59",,,,,,,,"2.73","2.72",,"2.73","2.72",,"32662.40","14901.56","6.52","3.09","0.40",,,,,,,,,,,,
"Mar 18",,"8753.01","2574.44","107.87","335.87","2788.66",,"7040.74","1078.93","2767.98",,"3672.20","7179.53",,"-3507.33","-1318.59","-2188.74",,,"-2188.74","513.31",,,,,,,,"-8.53","-8.51",,"-8.53","-8.51",,"34248.64","16591.71","6.77","3.40","-1.31",,,,,,,,,,,,
"Dec 17",,"8767.57","2558.96","80.89","314.13","2593.08",,"6990.03","1062.94","2407.86",,"3853.80","2811.04",,"1042.76","316.32","726.44",,,"726.44","512.82",,,,,,,,"3.00","2.99",,"3.00","2.99",,"25000.51","11769.49","5.28","2.56","0.44",,,,,,,,,,,,
"Sep 17",,"8406.31","2432.03","86.38","310.36","2585.54",,"6695.46","1082.84","2265.00",,"3777.32","3140.41",,"636.91","204.53","432.38",,,"432.38","479.53",,,,,,,,"1.80","1.80",,"1.80","1.80",,"27402.32","14052.34","5.90","3.12","0.27",,,,,,,,,,,,
"Jun 17",,"8210.58","2417.87","112.69","311.35","2999.81",,"6436.35","1088.25","2236.54",,"4291.16","2341.93",,"1949.23","643.63","1305.60",,,"1305.60","479.40",,,,,,,,"5.45","5.43",,"5.45","5.43",,"22030.87","9765.98","5.03","2.30","0.87",,,,,,,,,,,,
"Mar 17",,"8262.56","2389.29","165.28","351.02","3013.16",,"6439.55","947.97","2419.05",,"4374.74","2581.25",,"1793.49","568.39","1225.10",,,"1225.10","479.01",,,,,,,,"5.12","5.10",,"5.12","5.10",,"21280.48","8626.55","5.04","2.11","0.84",,,,,,,,,,,,
"Dec 16",,"8156.41","2416.67","204.22","323.70","3400.21",,"6767.27","991.88","2101.83",,"4640.23","3795.80",,"844.43","264.86","579.57",,,"579.57","478.28",,,,,,,,"2.42","2.41",,"2.42","2.41",,"20466.82","8294.78","5.22","2.18","0.39",,,,,,,,,,,,
