,KOTAKBANK.NS.Close,,SBIN.NS.Close,,AXISBANK.NS.Adjusted,,HDFCBANK.NS.Close
16/07/2009,155.613007,17/07/2009,167.395004,2009-07-17,120.863556,17/07/2009,287.329987
17/07/2009,160.425003,20/07/2009,172.294998,2009-07-20,125.86937,20/07/2009,294.75
20/07/2009,168.375,21/07/2009,171.154999,2009-07-21,125.592438,21/07/2009,292.179993
21/07/2009,160.636993,22/07/2009,169.389999,2009-07-22,122.22683,22/07/2009,289.029999
22/07/2009,156.037994,23/07/2009,172.714996,2009-07-23,126.948608,23/07/2009,291.809998
23/07/2009,160.261993,24/07/2009,169.860001,2009-07-24,126.948608,24/07/2009,289.98999
24/07/2009,158.863007,27/07/2009,171.130005,2009-07-27,133.253799,27/07/2009,286.679993
27/07/2009,167.188004,28/07/2009,168.175003,2009-07-28,135.845474,28/07/2009,284.890015
28/07/2009,165.625,29/07/2009,165.675003,2009-07-29,130.307114,29/07/2009,283.73999
29/07/2009,156,30/07/2009,172.279999,2009-07-30,130.733154,30/07/2009,292.869995
30/07/2009,157.188004,31/07/2009,181.164993,2009-07-31,130.24321,31/07/2009,299.820007
31/07/2009,163.761993,03/08/2009,184.705002,2009-08-03,130.896439,03/08/2009,298.690002
03/08/2009,167.25,04/08/2009,185.744995,2009-08-04,127.055122,04/08/2009,293.809998
04/08/2009,175.850006,05/08/2009,184.354996,2009-08-05,120.970039,05/08/2009,289.570007
05/08/2009,186.311996,06/08/2009,179.664993,2009-08-06,120.082504,06/08/2009,282.720001
06/08/2009,182.949997,07/08/2009,174.330002,2009-08-07,115.68734,07/08/2009,278.040009
07/08/2009,177.800003,10/08/2009,171.095001,2009-08-10,119.755867,10/08/2009,275.070007
10/08/2009,180.875,11/08/2009,172.925003,2009-08-11,123.533295,11/08/2009,275.829987
11/08/2009,181.524994,12/08/2009,170.274994,2009-08-12,123.604301,12/08/2009,281.25
12/08/2009,178.662994,13/08/2009,179.759995,2009-08-13,124.591278,13/08/2009,284.910004
13/08/2009,188.524994,14/08/2009,180.074997,2009-08-14,123.561707,14/08/2009,285.459991
14/08/2009,184.175003,17/08/2009,171.345001,2009-08-17,117.590233,17/08/2009,281.23999
17/08/2009,170.449997,18/08/2009,173.445007,2009-08-18,118.023384,18/08/2009,288.179993
18/08/2009,173.662994,19/08/2009,169.110001,2009-08-19,116.57489,19/08/2009,289.950012
19/08/2009,169.113007,20/08/2009,175.315002,2009-08-20,120.047012,20/08/2009,296.01001
20/08/2009,175.399994,21/08/2009,177.585007,2009-08-21,125.315536,21/08/2009,293.190002
21/08/2009,179.938004,24/08/2009,179.020004,2009-08-24,129.185257,24/08/2009,296.929993
24/08/2009,183.061996,25/08/2009,174.759995,2009-08-25,130.150909,25/08/2009,297.390015
25/08/2009,180.300003,26/08/2009,173.970001,2009-08-26,132.522446,26/08/2009,292.119995
26/08/2009,181.800003,27/08/2009,175.380005,2009-08-27,131.038467,27/08/2009,291.399994
27/08/2009,178.649994,28/08/2009,178.175003,2009-08-28,130.484634,28/08/2009,291.549988
28/08/2009,181.162994,31/08/2009,174.289993,2009-08-31,128.56041,31/08/2009,294.200012
31/08/2009,179.050003,01/09/2009,173.320007,2009-09-01,126.771088,01/09/2009,289.220001
01/09/2009,176.311996,02/09/2009,173.440002,2009-09-02,126.274078,02/09/2009,287.75
02/09/2009,174.061996,03/09/2009,174.699997,2009-09-03,126.188873,03/09/2009,287.079987
03/09/2009,174.962006,04/09/2009,176.244995,2009-09-04,128.837341,04/09/2009,290.850006
04/09/2009,178.449997,07/09/2009,181.335007,2009-09-07,132.437256,07/09/2009,293.480011
07/09/2009,181.375,08/09/2009,189.404999,2009-09-08,128.553314,08/09/2009,291.369995
08/09/2009,180.800003,09/09/2009,189.475006,2009-09-09,129.987595,09/09/2009,295.089996
09/09/2009,179.649994,10/09/2009,188.154999,2009-09-10,129.128448,10/09/2009,297.109985
10/09/2009,181.824997,11/09/2009,192.050003,2009-09-11,128.219589,11/09/2009,298.25
11/09/2009,181.113007,14/09/2009,195.645004,2009-09-14,127.190033,14/09/2009,298.76001
14/09/2009,183.824997,15/09/2009,200.804993,2009-09-15,129.178146,15/09/2009,302.850006
15/09/2009,187.462006,16/09/2009,208.669998,2009-09-16,128.894135,16/09/2009,303.359985
16/09/2009,185.087006,17/09/2009,210.179993,2009-09-17,129.49057,17/09/2009,306.980011
17/09/2009,183.949997,18/09/2009,214.779999,2009-09-18,129.774597,18/09/2009,304.890015
18/09/2009,184,22/09/2009,217.074997,2009-09-22,129.220749,22/09/2009,309.269989
22/09/2009,184.649994,23/09/2009,214.164993,2009-09-23,130.647964,23/09/2009,313.920013
23/09/2009,182.475006,24/09/2009,216.729996,2009-09-24,130.612442,24/09/2009,324.76001
24/09/2009,184.488007,25/09/2009,213.850006,2009-09-25,129.9095,25/09/2009,321.709991
25/09/2009,183.212006,29/09/2009,209.199997,2009-09-29,131.542603,29/09/2009,322.269989
29/09/2009,189.488007,30/09/2009,219.494995,2009-09-30,139.899811,30/09/2009,330.100006
30/09/2009,194.875,01/10/2009,221.074997,2009-10-01,143.32933,01/10/2009,328.859985
01/10/2009,192.212006,05/10/2009,213.315002,2009-10-05,137.62059,05/10/2009,326.809998
05/10/2009,185.011993,06/10/2009,215.865005,2009-10-06,141.845337,06/10/2009,331.929993
06/10/2009,189.061996,07/10/2009,210.169998,2009-10-07,139.260773,07/10/2009,335.540009
07/10/2009,188.100006,08/10/2009,211.595001,2009-10-08,143.40741,08/10/2009,337.470001
08/10/2009,192.324997,09/10/2009,206.755005,2009-10-09,141.504501,09/10/2009,335.130005
09/10/2009,192.149994,12/10/2009,217.270004,2009-10-12,143.918655,12/10/2009,340.450012
12/10/2009,199.811996,13/10/2009,218.300003,2009-10-13,143.783752,13/10/2009,338.390015
13/10/2009,199,14/10/2009,227.244995,2009-10-14,146.609695,14/10/2009,340.440002
14/10/2009,201.938004,15/10/2009,232.869995,2009-10-15,142.860687,15/10/2009,344.459991
15/10/2009,205.488007,16/10/2009,244.634995,2009-10-16,142.931686,16/10/2009,343.929993
16/10/2009,206.738007,20/10/2009,247.085007,2009-10-20,141.199173,20/10/2009,338.26001
20/10/2009,205.238007,21/10/2009,238.610001,2009-10-21,138.749527,21/10/2009,332.220001
21/10/2009,205.212006,22/10/2009,232.475006,2009-10-22,137.201645,22/10/2009,333.200012
22/10/2009,198.824997,23/10/2009,235.455002,2009-10-23,141.163681,23/10/2009,338.380005
23/10/2009,198.774994,26/10/2009,230.550003,2009-10-26,137.45015,26/10/2009,338.579987
26/10/2009,195.25,27/10/2009,220.274994,2009-10-27,135.234833,27/10/2009,334.019989
27/10/2009,190.386993,28/10/2009,221.294998,2009-10-28,131.798187,28/10/2009,323.910004
28/10/2009,189.350006,29/10/2009,219.625,2009-10-29,128.894135,29/10/2009,322.640015
29/10/2009,179.024994,30/10/2009,219.104996,2009-10-30,128.858643,30/10/2009,324.140015
30/10/2009,178.287994,03/11/2009,210.300003,2009-11-03,126.955711,03/11/2009,320.100006
03/11/2009,170.261993,04/11/2009,217.130005,2009-11-04,131.230179,04/11/2009,324.790009
04/11/2009,174.912994,05/11/2009,213.925003,2009-11-05,130.094116,05/11/2009,324.670013
05/11/2009,179.488007,06/11/2009,220.5,2009-11-06,133.189896,06/11/2009,328
06/11/2009,190.787994,09/11/2009,231.820007,2009-11-09,141.724625,09/11/2009,341.48999
09/11/2009,200.824997,10/11/2009,236.889999,2009-11-10,141.497391,10/11/2009,340.690002
10/11/2009,197.662994,11/11/2009,237.824997,2009-11-11,142.74707,11/11/2009,347.170013
