"","Interest Earned","(a) Int. /Disc. on Adv/Bills","(b) Income on Investment","(c) Int. on balances With RBI","(d) Others","Other Income","EXPENDITURE","Interest Expended","Employees Cost","Other Expenses","Depreciation","Operating Profit before Provisions and contingencies","Provisions And Contingencies","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","ANALYTICAL RATIOS","a) % of Share by Govt.","b) Capital Adequacy Ratio - Basel -I","c) Capital Adequacy Ratio - Basel -II","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","NPA Ratios :","i) Gross NPA","ii) Net NPA","i) % of Gross NPA","ii) % of Net NPA","Return on Assets %","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Mar 19",,"21019.49","5046.92","111.50","155.34","4871.21",,"13243.76","2074.40","5042.70",,"10843.60","1889.22",,"8954.38","3069.26","5885.12",,,"5885.12","544.66",,,,,,,,"21.60","21.40",,"21.60","21.40",,"11224.16","3214.52","1.36","0.39","0.51",,,,,,,,,,,,
"Dec 18",,"20306.29","5319.01","98.24","166.72","4921.01",,"13313.51","1967.64","4751.70",,"10778.42","2211.53",,"8566.89","2981.04","5585.85",,,"5585.85","543.90",,,,,,,,"20.60","20.40",,"20.60","20.40",,"10902.86","3301.54","1.38","0.42","0.49",,,,,,,,,,,,
"Sep 18",,"18827.68","5042.24","93.58","236.06","4015.59",,"12436.15","1909.21","4389.84",,"9479.95","1819.96",,"7659.99","2654.26","5005.73",,,"5005.73","543.44",,,,,,,,"18.70","18.50",,"18.70","18.50",,"10097.73","3028.24","1.33","0.40","0.46",,,,,,,,,,,,
"Jun 18",,"17390.73","4589.29","332.38","236.58","3818.06",,"11735.41","1810.51","4173.37",,"8647.75","1629.37",,"7018.38","2416.94","4601.44",,,"4601.44","520.83",,,,,,,,"17.70","17.50",,"17.70","17.50",,"9538.62","2907.10","1.33","0.41","0.44",,,,,,,,,,,,
"Mar 18",,"16663.37","4222.64","196.81","238.26","4228.58",,"10663.37","1741.20","4309.43",,"8835.66","1541.10",,"7294.56","2495.28","4799.28",,,"4799.28","519.02",,,,,,,,"18.50","18.30",,"18.50","18.30",,"8606.97","2601.02","1.30","0.40","0.50",,,,,,,,,,,,
"Dec 17",,"16156.61","4100.30","112.38","211.98","3869.17",,"10266.93","1691.26","4040.96",,"8451.29","1351.44",,"7099.85","2457.25","4642.60",,,"4642.60","518.02",,,,,,,,"17.90","17.70",,"17.90","17.70",,"8234.88","2773.66","1.29","0.44","0.50",,,,,,,,,,,,
"Sep 17",,"15355.75","4006.46","106.49","201.58","3605.90",,"9918.21","1715.77","3824.28",,"7817.92","1476.19",,"6341.73","2190.70","4151.03",,,"4151.03","516.80",,,,,,,,"16.10","15.90",,"16.10","15.90",,"7702.84","2596.83","1.26","0.43","0.47",,,,,,,,,,,,
"Jun 17",,"14486.06","3892.97","108.20","181.49","3516.66",,"9297.98","1657.51","3709.95",,"7519.94","1558.76",,"5961.18","2067.34","3893.84",,,"3893.84","514.78",,,,,,,,"15.20","15.00",,"15.20","15.00",,"7242.93","2528.21","1.24","0.44","0.46",,,,,,,,,,,,
"Mar 17",,"13507.45","4267.69","165.26","174.00","3446.26",,"9059.30","1552.65","3669.31",,"7279.40","1261.80",,"6017.60","2027.51","3990.09",,,"3990.09","512.51","88949.87",,,,,,,"15.60","15.40",,"15.60","15.40",,"5885.66","1843.99","1.05","0.33","0.48",,,,,,,,,,,,
"Dec 16",,"13175.64","4049.34","186.88","193.74","3142.67",,"9296.51","1688.63","3153.88",,"6609.25","715.78",,"5893.47","2028.14","3865.33",,,"3865.33","511.07",,,,,,,,"15.20","15.00",,"15.20","15.00",,"5232.27","1564.32","1.05","0.32","0.50",,,,,,,,,,,,
"Sep 16",,"12901.36","3818.07","139.67","210.84","2900.95",,"9076.35","1657.21","3212.78",,"6024.55","748.99",,"5275.56","1820.23","3455.33",,,"3455.33","509.13",,,,,,,,"13.60","13.40",,"13.60","13.40",,"5069.04","1488.85","1.02","0.30","0.50",,,,,,,,,,,,
"Jun 16",,"12470.81","3809.24","40.21","195.76","2806.61",,"8734.58","1585.17","3183.69",,"5819.19","866.73",,"4952.46","1713.55","3238.91",,,"3238.91","507.01",,,,,,,,"12.80","12.60",,"12.80","12.60",,"4920.89","1493.39","1.04","0.32","0.50",,,,,,,,,,,,
"Mar 16",,"11948.89","3789.60","48.92","209.34","2865.86",,"8543.41","1497.95","3086.34",,"5734.91","662.45",,"5072.46","1698.24","3374.22",,,"3374.22","505.64",,,,,,,,"13.30","13.20",,"13.30","13.20",,"4392.83","1320.37","0.94","0.28","0.49",,,,,,,,,,,,
