"","Interest Earned","(a) Int. /Disc. on Adv/Bills","(b) Income on Investment","(c) Int. on balances With RBI","(d) Others","Other Income","EXPENDITURE","Interest Expended","Employees Cost","Other Expenses","Depreciation","Operating Profit before Provisions and contingencies","Provisions And Contingencies","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","ANALYTICAL RATIOS","a) % of Share by Govt.","b) Capital Adequacy Ratio - Basel -I","c) Capital Adequacy Ratio - Basel -II","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","NPA Ratios :","i) Gross NPA","ii) Net NPA","i) % of Gross NPA","ii) % of Net NPA","Return on Assets %","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Mar 19",,"4977.59","1234.47","103.24","86.97","1270.29",,"3354.40","856.74","1179.16",,"2282.26","171.26",,"2111.00","703.20","1407.80",,,"1407.80","954.38",,,,,,,,"7.38","7.37",,"7.38","7.37",,"4467.94","1544.37","2.14","0.75","0.46",,,,,,,,,,,,
"Dec 18",,"4766.28","1299.65","105.68","78.72","963.88",,"3311.25","836.99","1127.56",,"1938.41","-32.30",,"1970.71","679.78","1290.93",,,"1290.93","953.77",,,,,,,,"6.77","6.76",,"6.77","6.76",,"4128.68","1397.27","2.07","0.71","0.45",,,,,,,,,,,,
"Sep 18",,"4459.20","1196.77","80.02","74.91","1205.27",,"3121.80","745.24","1054.16",,"2094.97","353.80",,"1741.17","599.52","1141.65",,,"1141.65","953.50",,,,,,,,"5.99","5.98",,"5.99","5.98",,"4033.07","1500.76","2.15","0.81","0.41",,,,,,,,,,,,
"Jun 18",,"4168.18","1141.88","92.48","77.16","1164.59",,"2896.80","720.42","994.54",,"2032.53","469.63",,"1562.90","537.96","1024.94",,,"1024.94","953.07",,,,,,,,"5.38","5.37",,"5.38","5.37",,"3899.45","1527.14","2.17","0.86","0.39",,,,,,,,,,,,
"Mar 18",,"3924.45","1113.03","183.70","102.19","1151.63",,"2743.62","766.44","946.99",,"2017.95","306.91",,"1711.04","586.99","1124.05",,,"1124.05","952.82",,,,,,,,"5.90","5.89",,"5.90","5.89",,"3825.38","1665.05","2.22","0.98","0.43",,,,,,,,,,,,
"Dec 17",,"3765.88","960.78","207.23","75.31","1039.82",,"2615.48","734.21","879.28",,"1820.05","212.77",,"1607.28","554.07","1053.21",,,"1053.21","952.35",,,,,,,,"5.53","5.52",,"5.53","5.52",,"3714.99","1727.96","2.31","1.09","0.44",,,,,,,,,,,,
"Sep 17",,"3559.47","973.40","149.09","78.18","953.88",,"2447.48","722.96","818.77",,"1724.81","216.53",,"1508.28","513.97","994.31",,,"994.31","952.00",,,,,,,,"5.22","5.22",,"5.22","5.22",,"3814.17","1918.83","2.47","1.26","0.44",,,,,,,,,,,,
"Jun 17",,"3478.15","885.79","215.27","76.57","906.88",,"2410.23","706.16","850.91",,"1595.36","203.74",,"1391.62","478.89","912.73",,,"912.73","951.75",,,,,,,,"4.88","4.87",,"4.88","4.87",,"3726.62","1777.93","2.58","1.25","0.42",,,,,,,,,,,,
"Mar 17",,"3367.62","848.16","138.58","77.64","1002.65",,"2270.63","680.61","781.41",,"1702.00","267.37",,"1434.63","458.15","976.48",,,"976.48","920.45",,,,,,,,"5.31","5.30",,"5.31","5.30",,"3578.61","1718.07","2.59","1.26","0.47",,,,,,,,,,,,
"Dec 16",,"3403.06","937.86","31.80","94.89","910.22",,"2417.29","697.40","735.44",,"1527.70","192.10",,"1335.60","455.84","879.76",,,"879.76","919.63",,,,,,,,"4.79","4.78",,"4.79","4.78",,"3177.88","1379.07","2.42","1.07","0.44",,,,,,,,,,,,
"Sep 16",,"3349.23","947.81","18.21","97.22","831.11",,"2417.11","699.49","686.90",,"1440.08","197.76",,"1242.32","429.03","813.29",,,"813.29","918.64",,,,,,,,"4.43","4.42",,"4.43","4.42",,"3180.66","1516.76","2.49","1.20","0.42",,,,,,,,,,,,
"Jun 16",,"3282.19","947.21","29.73","127.72","733.18",,"2467.75","667.14","670.11",,"1315.03","179.51",,"1135.52","393.55","741.97",,,"741.97","917.19",,,,,,,,"4.04","4.04",,"4.04","4.04",,"3058.81","1467.11","2.50","1.21","0.38",,,,,,,,,,,,
"Mar 16",,"3205.57","925.45","44.50","89.89","681.91",,"2408.17","634.03","710.97",,"1194.15","200.41",,"993.74","297.96","695.78",,,"695.78","917.19",,,,,,,,"3.80","3.79",,"3.80","3.79",,"2838.11","1261.96","2.36","1.06","0.37",,,,,,,,,,,,
"Dec 15",,"3158.88","856.97","16.13","89.72","722.16",,"2355.49","618.16","665.00",,"1205.21","235.25",,"969.96","335.24","634.72",,,"634.72","916.25",,,,,,,,"3.47","3.46",,"3.47","3.46",,"2690.34","1110.75","2.30","0.96","0.36",,,,,,,,,,,,
"Sep 15",,"3059.43","838.96","9.99","97.27","615.73",,"2326.91","623.01","626.70",,"1044.76","176.40",,"868.36","298.86","569.50",,,"569.50","915.26",,,,,,,,"3.28","3.26",,"3.28","3.26",,"2655.38","1167.60","2.35","1.05","0.34",,"121.23","66.23",,,,,,,"61.82","100.00","33.77"
"Jun 15",,"3046.49","841.03","15.89","88.02","592.43",,"2393.24","928.78","664.87",,"596.97","305.31",,"291.66","101.88","189.78",,,"189.78","456.42",,,,,,,,"2.08","2.07",,"2.08","2.07",,"2421.17","1077.34","2.31","1.04","0.11",,"60.37","66.14",,,,,,,"30.91","100.00","33.86"
"Mar 15",,"1962.58","612.32","4.10","1.94","668.14",,"1457.77","378.90","551.68",,"860.73","66.94",,"793.79","266.65","527.14",,,"527.14","386.18",,,,,,,,"6.83","6.81",,"6.83","6.81",,"1237.23","609.08","1.85","0.92","0.51",,"46.33","59.98",,,,,,,"30.91","100.00","40.02"
"Dec 14",,"1922.60","564.94","11.00","1.56","494.10",,"1440.66","367.90","448.07",,"737.57","29.92",,"707.65","243.13","464.52",,,"464.52","385.86",,,,,,,,"6.02","6.01",,"6.02","6.01",,"1219.86","629.81","1.87","0.97","0.48",,"46.26","59.95",,,,,,,"30.91","100.00","40.05"
"Sep 14",,"1825.78","521.64","3.26","1.80","466.45",,"1313.55","354.52","417.22",,"733.64","53.65",,"679.99","235.47","444.52",,,"444.52","385.67",,,,,,,,"5.77","5.75",,"5.77","5.75",,"1165.40","611.47","1.89","1.00","0.49",,"46.22","59.93",,,,,,,"30.91","100.00","40.07"
"Jun 14",,"1757.71","516.95","5.70","5.99","399.76",,"1284.15","348.41","388.03",,"665.52","13.99",,"651.53","221.73","429.80",,,"429.80","385.23",,,,,,,,"5.58","5.57",,"5.58","5.57",,"1079.02","559.54","1.88","0.98","0.49",,"45.98","59.67",,,,,,,"31.07","100.00","40.33"
"Mar 14",,"1707.16","498.20","6.84","0.28","340.48",,"1245.94","315.66","384.26",,"607.10","-6.19",,"613.29","206.11","407.18",,,"407.18","385.16",,,,,,"19.01",,"5.29","5.28",,"5.29","5.28",,"1059.44","573.56","1.98","1.08","0.48",,"43.46","56.42",,,,,,,"33.57","100.00","43.58"
