"","Interest Earned","(a) Int. /Disc. on Adv/Bills","(b) Income on Investment","(c) Int. on balances With RBI","(d) Others","Other Income","EXPENDITURE","Interest Expended","Employees Cost","Other Expenses","Depreciation","Operating Profit before Provisions and contingencies","Provisions And Contingencies","Exceptional Items","P/L Before Tax","Tax","P/L After Tax from Ordinary Activities","Prior Year Adjustments","Extra Ordinary Items","Net Profit/(Loss) For the Period","Equity Share Capital","Reserves Excluding Revaluation Reserves","Equity Dividend Rate (%)","ANALYTICAL RATIOS","a) % of Share by Govt.","b) Capital Adequacy Ratio - Basel -I","c) Capital Adequacy Ratio - Basel -II","EPS Before Extra Ordinary","Basic EPS- EPS Before Extra Ordinary","Diluted EPS- EPS Before Extra Ordinary","EPS After Extra Ordinary","Basic EPS- EPS After Extra Ordinary","Diluted EPS- EPS After Extra Ordinary","NPA Ratios :","i) Gross NPA","ii) Net NPA","i) % of Gross NPA","ii) % of Net NPA","Return on Assets %","Public Share Holding","No Of Shares (Crores)","Share Holding (%)","Promoters and Promoter Group Shareholding","a) Pledged/Encumbered","- Number of shares (Crores)- Pledged_Encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Pledged_Encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Pledged_Encumbered","b) Non-encumbered","- Number of shares (Crores)- Non_encumbered","- Per. of shares (as a % of the total sh. of prom. and promoter group)- Non_encumbered","- Per. of shares (as a % of the total Share Cap. of the company)- Non_encumbered"
"Mar 19",,"42627.75","17913.78","398.91","2044.94","12685.12",,"40031.55","10477.99","8227.87",,"16933.09","16501.89",,"431.20","-407.20","838.40",,,"838.40","892.46",,,,"57.13",,,,"0.94","0.94",,"0.94","0.94",,"172750.36","65894.74","7.53","3.01","0.09",,,,,,,,,,,,
"Dec 18",,"41820.50","18824.41","306.31","1325.39","8035.23",,"39585.62","11171.93","6929.34",,"12624.95","6006.22",,"6618.73","2663.92","3954.81",,,"3954.81","892.46",,,,"57.70",,,,"4.43","4.43",,"4.43","4.43",,"187764.57","80943.51","8.71","3.95","0.45",,,,,,,,,,,,
"Sep 18",,"38326.50","19080.46","229.26","1157.26","7814.50",,"37887.79","9696.37","6679.52",,"12344.30","12092.17","1560.55","1812.68","867.81","944.87",,,"944.87","892.46",,,,"57.70",,,,"1.06","1.06",,"1.06","1.06",,"205864.12","94809.98","9.95","4.84","0.11",,,,,,,,,,,,
"Jun 18",,"38865.48","18587.51","244.59","1115.60","6679.49",,"37014.82","9708.42","6796.30",,"11973.13","19228.26",,"-7255.13","-2379.28","-4875.85",,,"-4875.85","892.46",,,,"57.66",,,,"-5.46","-5.46",,"-5.46","-5.46",,"212839.92","99236.26","10.69","5.29","-0.57",,,,,,,,,,,,
"Mar 18",,"34234.86","18278.36","255.89","3172.17","12494.78",,"35967.00","9254.17","7331.71",,"15883.18","28096.07",,"-12212.89","-4494.72","-7718.17",,,"-7718.17","892.46",,,,"58.03",,,,"-8.92","-8.92",,"-8.92","-8.92",,"223427.46","110854.70","10.91","5.73","-0.92",,,,,,,,,,,,
"Dec 17",,"35185.39","18146.84","275.11","1195.55","8084.17",,"36115.37","8496.79","6520.33",,"11754.57","18876.21",,"-7121.64","-4705.27","-2416.37",,,"-2416.37","863.21",,,,"56.61",,,,"-2.80","-2.80",,"-2.80","-2.80",,"199141.34","102370.12","10.35","5.61","-0.30",,,,,,,,,,,,
"Sep 17",,"35801.23","17314.71","773.20","960.58","10579.91",,"36263.82","7703.24","6899.60",,"14562.97","19137.43","5436.17","861.71","-719.84","1581.55",,,"1581.55","863.21",,,,"57.07",,,,"1.83","1.83",,"1.83","1.83",,"186114.60","97896.29","9.83","5.43","0.20",,,,,,,,,,,,
"Jun 17",,"36141.69","16597.71","945.79","1220.23","8005.66",,"37299.41","7724.48","6013.13",,"11874.06","8929.48",,"2944.58","939.05","2005.53",,,"2005.53","863.21",,,,"57.07",,,,"2.44","2.44",,"2.44","2.44",,"188068.49","107759.66","9.97","5.97","0.25",,,,,,,,,,,,
"Mar 17",,"29861.16","13507.03","887.70","3136.68","10327.50",,"29321.85","6242.25","6129.51",,"16026.46","11740.09",,"4286.37","1471.55","2814.82",,,"2814.82","797.35",,,,"61.23",,,,"3.55","3.55",,"3.55","3.55",,"112342.99","58277.38","6.90","3.71","0.43",,,,,,,,,,,,
"Dec 16",,"29831.27","12608.66","488.69","996.97","9661.92",,"29174.05","7137.29","4732.91",,"12543.26","8942.83",,"3600.43","990.43","2610.00",,,"2610.00","776.28",,,,"60.18",,,,"3.36","3.36",,"3.36","3.36",,"108172.32","61430.45","7.23","4.24","0.42",,,,,,,,,,,,
"Sep 16",,"29933.82","11385.23","194.44","805.36","8424.14",,"27881.39","6853.19","4784.09",,"11224.32","7896.72",,"3327.60","789.28","2538.32",,,"2538.32","776.28",,,,"60.18",,,,"3.27","3.27",,"3.27","3.27",,"105782.96","60013.45","7.14","4.19","0.44",,,,,,,,,,,,
"Jun 16",,"29883.76","10704.39","182.64","822.73","7335.08",,"27281.21","6256.55","4336.98",,"11053.86","7413.10",,"3640.76","1119.80","2520.96",,,"2520.96","776.28",,,,"60.18",,,,"3.25","3.25",,"3.25","3.25",,"101541.18","57420.98","6.94","4.05","0.44",,,,,,,,,,,,
"Mar 16",,"29242.48","11007.91","105.02","2586.36","10585.20",,"27540.59","6942.78","4851.70",,"14191.90","13174.05",,"1017.85","-245.96","1263.81",,,"1263.81","776.28",,,,"60.18",,,,"1.64","1.64",,"1.64","1.64",,"98172.80","55807.02","6.50","3.81","0.23",,,,,,,,,,,,
"Dec 15",,"28860.22","10712.00","101.85","879.43","6177.51",,"26947.03","6122.57","4063.49",,"9597.92","7949.38",,"1648.54","533.20","1115.34",,,"1115.34","776.28",,,,"60.18",,,,"1.43","1.43",,"1.43","1.43",,"72791.73","40249.12","5.10","2.89","0.21",,,,,,,,,,,,
"Sep 15",,"28981.65","10564.66","179.93","931.32","6197.25",,"26405.01","6142.09","4041.82",,"10265.89","4360.60",,"5905.29","2026.22","3879.07",,,"3879.07","776.28",,,,"60.18",,"13.19",,"5.08","5.08",,"5.08","5.08",,"56834.28","28591.96","4.15","2.14","0.75",,"309.11","39.82",,,,,,,"467.16","100.00","60.18"
"Jun 15",,"28581.66","10019.41","234.27","807.55","5087.98",,"25910.86","5906.38","3711.53",,"9202.10","3999.73",,"5202.37","1509.94","3692.43",,,"3692.43","756.62",,,,"59.15",,,,"4.88","4.88",,"4.88","4.88",,"56420.77","28669.14","4.29","2.24","0.72",,"309.11","40.85",,,,,,,"447.51","100.00","59.15"
"Mar 15",,"28268.54","9982.75","158.90","1690.97","8515.25",,"25389.40","6566.54","4251.11",,"12409.36","6592.91",,"5816.45","2074.43","3742.02",,,"3742.02","746.57",,,,"58.60",,"12.79",,"5.01","5.01",,"5.01","5.01",,"56725.34","27590.58","4.25","2.12","0.76",,"309.11","41.40",,,,,,,"437.46","100.00","58.60"
"Dec 14",,"28646.37","9484.73","151.51","263.57","5237.80",,"24769.54","5842.03","3877.94",,"9294.47","5234.91",,"4059.56","1149.50","2910.06",,,"2910.06","746.57",,,,"58.60",,"12.54",,"3.90","3.90",,"3.90","3.90",,"61991.45","34468.74","4.90","2.80","0.62",,"309.11","41.40",,,,,,,"437.46","100.00","58.60"
"Sep 14",,"27869.18","9060.97","104.67","227.79","4570.75",,"23988.01","5563.93","3859.50",,"8421.92","4274.98",,"4146.94","1046.53","3100.41",,,"3100.41","746.57",,,,"58.60",,"12.87",,"41.53","41.53",,"41.53","41.53",,"60712.38","32997.16","4.89","2.73","0.67",,"30.91","41.40",,,,,,,"43.75","100.00","58.60"
"Jun 14",,"27559.82","8559.32","90.04","277.94","4252.09",,"23234.88","5564.57","3152.02",,"8787.74","3496.73",,"5291.01","1941.93","3349.08",,,"3349.08","746.57",,,,"58.60",,"12.85",,"44.86","44.86",,"44.86","44.86",,"60434.24","31883.80","4.90","2.66","0.74",,"30.91","41.40",,,,,,,"43.75","100.00","58.60"
"Mar 14",,"26949.22","8228.20","98.37","581.83","6585.65",,"22954.81","5279.16","3581.48",,"10627.82","5891.12",,"4736.70","1695.96","3040.74",,,"3040.74","746.57",,,,"58.60",,"12.96",,"41.79","41.79",,"41.79","41.79",,"61605.35","31096.07","4.95","2.57","0.69",,"30.91","41.40",,,,,,,"43.75","100.00","58.60"
"Dec 13",,"26309.65","8227.60","92.03","241.18","4190.30",,"22229.94","5867.13","3345.22",,"7618.47","4149.61",,"3468.86","1234.52","2234.34",,,"2234.34","684.03",,,,"62.31",,"11.88",,"32.66","32.66",,"32.66","32.66",,"67799.33","37167.35","5.73","3.24","0.52",,"25.78","37.69",,,,,,,"42.62","100.00","62.31"
